"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0"
"3",1,"CeeDee Lamb",DAL,"WR2","10","2 out of 5 stars","+3"
"4",1,"Justin Jefferson",MIN,"WR3","6","2 out of 5 stars","+1"
"5",2,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","-1"
"6",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+4"
"7",2,"Puka Nacua",LAR,"WR5","8","3 out of 5 stars","+1"
"8",2,"Amon-Ra St. Brown",DET,"WR6","8","3 out of 5 stars","+1"
"9",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-6"
"10",2,"Nico Collins",HOU,"WR7","6","4 out of 5 stars","+4"
"11",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+4"
"12",3,"Drake London",ATL,"WR9","5","3 out of 5 stars","+7"
"13",3,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-6"
"14",3,"De'Von Achane",MIA,"RB5","12","4 out of 5 stars","-1"
"15",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","+3"
"16",3,"Ashton Jeanty",LV,"RB6","8","2 out of 5 stars","-5"
"17",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","0"
"18",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+7"
"19",3,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+14"
"20",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+6"
"21",4,"Garrett Wilson",NYJ,"WR13","9","4 out of 5 stars","+14"
"22",4,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-10"
"23",4,"Tyreek Hill",MIA,"WR14","12","3 out of 5 stars","+5"
"24",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-1"
"25",4,"Tee Higgins",CIN,"WR15","10","3 out of 5 stars","+4"
"26",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-5"
"27",4,"Chase Brown",CIN,"RB8","10","4 out of 5 stars","0"
"28",4,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+12"
"29",4,"Bucky Irving",TB,"RB9","9","3 out of 5 stars","-7"
"30",4,"Josh Jacobs",GB,"RB10","5","4 out of 5 stars","-14"
"31",4,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-11"
"32",5,"George Kittle",SF,"TE3","14","3 out of 5 stars","+7"
"33",5,"Mike Evans",TB,"WR17","9","3 out of 5 stars","+9"
"34",5,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-4"
"35",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","+1"
"36",5,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+7"
"37",5,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-13"
"38",5,"DJ Moore",CHI,"WR19","5","2 out of 5 stars","+9"
"39",5,"Terry McLaurin",WAS,"WR20","12","3 out of 5 stars","+2"
"40",5,"Breece Hall",NYJ,"RB13","9","5 out of 5 stars","-8"
"41",5,"Alvin Kamara",NO,"RB14","11","4 out of 5 stars","-3"
"42",5,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars","-5"
"43",5,"DK Metcalf",PIT,"WR21","5","4 out of 5 stars","+5"
"44",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-10"
"45",5,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars","+8"
"46",6,"James Cook",BUF,"RB16","7","4 out of 5 stars","-15"
"47",6,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+7"
"48",6,"Omarion Hampton",LAC,"RB17","12","2 out of 5 stars","-4"
"49",6,"Chuba Hubbard",CAR,"RB18","14","3 out of 5 stars","-4"
"50",6,"Zay Flowers",BAL,"WR24","7","3 out of 5 stars","+9"
"51",6,"Jaylen Waddle",MIA,"WR25","12","3 out of 5 stars","+24"
"52",6,"James Conner",ARI,"RB19","8","3 out of 5 stars","-6"
"53",6,"Rashee Rice",KC,"WR26","10","3 out of 5 stars","-4"
"54",6,"Tetairoa McMillan",CAR,"WR27","14","4 out of 5 stars","+14"
"55",6,"Xavier Worthy",KC,"WR28","10","3 out of 5 stars","+1"
"56",6,"Jameson Williams",DET,"WR29","8","3 out of 5 stars","+6"
"57",6,"Chris Olave",NO,"WR30","11","4 out of 5 stars","+21"
"58",6,"George Pickens",DAL,"WR31","10","2 out of 5 stars","+9"
"59",6,"Calvin Ridley",TEN,"WR32","10","4 out of 5 stars","+11"
"60",6,"David Montgomery",DET,"RB20","8","2 out of 5 stars","-3"
"61",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-9"
"62",6,"D'Andre Swift",CHI,"RB21","5","3 out of 5 stars","-7"
"63",7,"T.J. Hockenson",MIN,"TE4","6","3 out of 5 stars","-2"
"64",7,"TreVeyon Henderson",NE,"RB22","14","4 out of 5 stars","-4"
"65",7,"Jerry Jeudy",CLE,"WR33","9","2 out of 5 stars","+11"
"66",7,"Travis Hunter",JAC,"WR34","8","4 out of 5 stars","0"
"67",7,"Sam LaPorta",DET,"TE5","8","3 out of 5 stars","-17"
"68",7,"Aaron Jones Sr.",MIN,"RB23","6","3 out of 5 stars","-3"
"69",7,"RJ Harvey",DEN,"RB24","12","2 out of 5 stars","-6"
"70",7,"Travis Kelce",KC,"TE6","10","3 out of 5 stars","-12"
"71",7,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars","-7"
"72",7,"Isiah Pacheco",KC,"RB25","10","2 out of 5 stars","-3"
"73",7,"Tony Pollard",TEN,"RB26","10","2 out of 5 stars","0"
"74",7,"Stefon Diggs",NE,"WR35","14","3 out of 5 stars","+13"
"75",7,"Bo Nix",DEN,"QB8","12","4 out of 5 stars","-3"
"76",7,"Rome Odunze",CHI,"WR36","5","2 out of 5 stars","+4"
"77",7,"Jakobi Meyers",LV,"WR37","8","4 out of 5 stars","+14"
"78",7,"Chris Godwin",TB,"WR38","9","3 out of 5 stars","-1"
"79",7,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+4"
"80",7,"Evan Engram",DEN,"TE7","12","3 out of 5 stars","+2"
"81",7,"Joe Mixon",HOU,"RB27","6","2 out of 5 stars","-30"
"82",7,"Kaleb Johnson",PIT,"RB28","5","4 out of 5 stars","-11"
"83",7,"David Njoku",CLE,"TE8","9","3 out of 5 stars","+1"
"84",8,"Brian Robinson Jr.",WAS,"RB29","12","2 out of 5 stars","-5"
"85",8,"Justin Fields",NYJ,"QB10","9","5 out of 5 stars","+19"
"86",8,"Jaylen Warren",PIT,"RB30","5","4 out of 5 stars","+3"
"87",8,"Khalil Shakir",BUF,"WR39","7","3 out of 5 stars","+6"
"88",8,"Jordan Addison",MIN,"WR40","6","2 out of 5 stars","-7"
"89",8,"Mark Andrews",BAL,"TE9","7","3 out of 5 stars","-15"
"90",8,"Dak Prescott",DAL,"QB11","10","2 out of 5 stars","+12"
"91",8,"Tyrone Tracy Jr.",NYG,"RB31","14","3 out of 5 stars","-3"
"92",8,"Jauan Jennings",SF,"WR41","14","4 out of 5 stars","+2"
"93",8,"Josh Downs",IND,"WR42","11","4 out of 5 stars","+29"
"94",8,"Brock Purdy",SF,"QB12","14","4 out of 5 stars","+7"
"95",8,"Ricky Pearsall",SF,"WR43","14","4 out of 5 stars","+5"
"96",8,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+11"
"97",8,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+13"
"98",8,"Deebo Samuel Sr.",WAS,"WR44","12","3 out of 5 stars","-12"
"99",8,"Michael Pittman Jr.",IND,"WR45","11","4 out of 5 stars","+24"
"100",8,"Jayden Reed",GB,"WR46","5","2 out of 5 stars","+5"
"101",8,"Jared Goff",DET,"QB15","8","2 out of 5 stars","-3"
"102",8,"Travis Etienne Jr.",JAC,"RB32","8","2 out of 5 stars","-7"
"103",8,"Cooper Kupp",SEA,"WR47","8","3 out of 5 stars","-18"
"104",8,"Drake Maye",NE,"QB16","14","5 out of 5 stars","+38"
"105",8,"Jake Ferguson",DAL,"TE10","10","2 out of 5 stars","+28"
"106",8,"Tucker Kraft",GB,"TE11","5","2 out of 5 stars","+5"
"107",8,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+19"
"108",8,"Emeka Egbuka",TB,"WR48","9","3 out of 5 stars","+11"
"109",8,"Javonte Williams",DAL,"RB33","10","2 out of 5 stars","-12"
"110",8,"Jordan Mason",MIN,"RB34","6","3 out of 5 stars","+6"
"111",8,"Zach Charbonnet",SEA,"RB35","8","3 out of 5 stars","+6"
"112",9,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+55"
"113",9,"Tyjae Spears",TEN,"RB36","10","2 out of 5 stars","+16"
"114",9,"Rhamondre Stevenson",NE,"RB37","14","4 out of 5 stars","-8"
"115",9,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+19"
"116",9,"Darnell Mooney",ATL,"WR49","5","3 out of 5 stars","+9"
"117",9,"Dalton Kincaid",BUF,"TE12","7","3 out of 5 stars","+13"
"118",9,"Cam Skattebo",NYG,"RB38","14","3 out of 5 stars","-28"
"119",9,"Tyler Warren",IND,"TE13","11","3 out of 5 stars","-11"
"120",9,"Brandon Aiyuk",SF,"WR50","14","4 out of 5 stars","0"
"121",9,"Najee Harris",LAC,"RB39","12","2 out of 5 stars","-9"
"122",9,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+22"
"123",9,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+9"
"124",9,"Rachaad White",TB,"RB40","9","3 out of 5 stars","+7"
"125",9,"Matthew Golden",GB,"WR51","5","2 out of 5 stars","-29"
"126",9,"Christian Kirk",HOU,"WR52","6","4 out of 5 stars","+40"
"127",9,"J.K. Dobbins",DEN,"RB41","12","2 out of 5 stars","-14"
"128",9,"Rashid Shaheed",NO,"WR53","11","4 out of 5 stars","+22"
"129",9,"Tank Bigsby",JAC,"RB42","8","2 out of 5 stars","+8"
"130",9,"Keon Coleman",BUF,"WR54","7","3 out of 5 stars","-9"
"131",9,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-22"
"132",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+31"
"133",9,"Quinshon Judkins",CLE,"RB43","9","4 out of 5 stars","-41"
"134",9,"Luther Burden III",CHI,"WR55","5","2 out of 5 stars","+21"
"135",9,"Austin Ekeler",WAS,"RB44","12","2 out of 5 stars","0"
"136",9,"Cedric Tillman",CLE,"WR56","9","2 out of 5 stars","+63"
"137",9,"Matthew Stafford",LAR,"QB22","8","3 out of 5 stars","+41"
"138",9,"Bryce Young",CAR,"QB23","14","3 out of 5 stars","+72"
"139",9,"Rashod Bateman",BAL,"WR57","7","3 out of 5 stars","+33"
"140",9,"Michael Penix Jr.",ATL,"QB24","5","4 out of 5 stars","+34"
"141",10,"Jerome Ford",CLE,"RB45","9","4 out of 5 stars","+16"
"142",10,"Hunter Henry",NE,"TE16","14","3 out of 5 stars","+26"
"143",10,"Ray Davis",BUF,"RB46","7","4 out of 5 stars","+26"
"144",10,"Jonnu Smith",PIT,"TE17","5","3 out of 5 stars","-29"
"145",10,"Marquise Brown",KC,"WR58","10","3 out of 5 stars","+16"
"146",10,"Marvin Mims Jr.",DEN,"WR59","12","3 out of 5 stars","+6"
"147",10,"Kyle Pitts Sr.",ATL,"TE18","5","3 out of 5 stars","-9"
"148",10,"Romeo Doubs",GB,"WR60","5","2 out of 5 stars","+53"
"149",10,"Adam Thielen",CAR,"WR61","14","4 out of 5 stars","+30"
"150",10,"Tre' Harris",LAC,"WR62","12","3 out of 5 stars","-4"
"151",10,"Tyler Allgeier",ATL,"RB47","5","4 out of 5 stars","+9"
"152",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-49"
"153",10,"Wan'Dale Robinson",NYG,"WR63","14","2 out of 5 stars","+49"
"154",10,"Jaydon Blue",DAL,"RB48","10","2 out of 5 stars","-18"
"155",10,"Trey Benson",ARI,"RB49","8","3 out of 5 stars","-2"
"156",10,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+44"
"157",10,"Jayden Higgins",HOU,"WR64","6","4 out of 5 stars","-14"
"158",10,"Braelon Allen",NYJ,"RB50","9","5 out of 5 stars","+19"
"159",10,"DeMario Douglas",NE,"WR65","14","3 out of 5 stars","+62"
"160",10,"Isaac Guerendo",SF,"RB51","14","3 out of 5 stars","-11"
"161",10,"Zach Ertz",WAS,"TE19","12","3 out of 5 stars","-10"
"162",10,"Rico Dowdle",CAR,"RB52","14","3 out of 5 stars","+45"
"163",10,"Kyle Williams",NE,"WR66","14","3 out of 5 stars","+19"
"164",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-50"
"165",10,"Xavier Legette",CAR,"WR67","14","4 out of 5 stars","+16"
"166",10,"Quentin Johnston",LAC,"WR68","12","3 out of 5 stars","+27"
"167",10,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-43"
"168",10,"Jalen McMillan",TB,"WR69","9","3 out of 5 stars","+24"
"169",10,"Jaylen Wright",MIA,"RB53","12","4 out of 5 stars","+15"
"170",10,"Dylan Sampson",CLE,"RB54","9","4 out of 5 stars","+6"
"171",10,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","-43"
"172",10,"Sam Darnold",SEA,"QB26","8","4 out of 5 stars","+48"
"173",10,"Cameron Ward",TEN,"QB27","10","2 out of 5 stars","0"
"174",10,"Bhayshul Tuten",JAC,"RB55","8","2 out of 5 stars","-18"
"175",10,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-30"
"176",10,"Brenton Strange",JAC,"TE20","8","3 out of 5 stars","+20"
"177",10,"Nick Chubb",HOU,"RB56","6","2 out of 5 stars","-29"
"178",10,"Roschon Johnson",CHI,"RB57","5","3 out of 5 stars","+28"
"179",11,"DeAndre Hopkins",BAL,"WR70","7","3 out of 5 stars","+30"
"180",11,"Houston Texans",HOU,"DST6","6","2 out of 5 stars","-39"
"181",11,"Kansas City Chiefs",KC,"DST7","10","1 out of 5 stars","-6"
"182",11,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-83"
"183",11,"Joshua Palmer",BUF,"WR71","7","3 out of 5 stars","+44"
"184",11,"Buffalo Bills",BUF,"DST8","7","5 out of 5 stars","-45"
"185",11,"Detroit Lions",DET,"DST9","8","1 out of 5 stars","-21"
"186",11,"Jake Bates",DET,"K2","8","1 out of 5 stars","-59"
"187",11,"Cameron Dicker",LAC,"K3","12","5 out of 5 stars","-69"
"188",11,"Pat Freiermuth",PIT,"TE21","5","3 out of 5 stars","+6"
"189",11,"Jack Bech",LV,"WR72","8","4 out of 5 stars","-27"
"190",11,"Jalen Coker",CAR,"WR73","14","4 out of 5 stars","+138"
"191",11,"Chig Okonkwo",TEN,"TE22","10","3 out of 5 stars","+31"
"192",11,"Aaron Rodgers",PIT,"QB28","5","4 out of 5 stars","+34"
"193",11,"Mike Gesicki",CIN,"TE23","10","2 out of 5 stars","+26"
"194",11,"Blake Corum",LAR,"RB58","8","3 out of 5 stars","+34"
"195",11,"Wil Lutz",DEN,"K4","12","5 out of 5 stars","-12"
"196",11,"Los Angeles Chargers",LAC,"DST10","12","5 out of 5 stars","+7"
"197",11,"Isaiah Likely",BAL,"TE24","7","3 out of 5 stars","-27"
"198",11,"Chris Boswell",PIT,"K5","5","1 out of 5 stars","-51"
"199",11,"Michael Wilson",ARI,"WR74","8","4 out of 5 stars","+125"
"200",11,"Seattle Seahawks",SEA,"DST11","8","3 out of 5 stars","+5"
"201",11,"Cade Otton",TB,"TE25","9","3 out of 5 stars","+14"
"202",11,"Los Angeles Rams",LAR,"DST12","8","3 out of 5 stars","+21"
"203",11,"Chase McLaughlin",TB,"K6","9","3 out of 5 stars","-63"
"204",11,"Ka'imi Fairbairn",HOU,"K7","6","3 out of 5 stars","-50"
"205",11,"Alec Pierce",IND,"WR75","11","4 out of 5 stars","+47"
"206",11,"Keenan Allen",LAC,"WR76","12","3 out of 5 stars","+18"
"207",11,"MarShawn Lloyd",GB,"RB59","5","4 out of 5 stars","+26"
"208",11,"Mason Taylor",NYJ,"TE26","9","3 out of 5 stars","+30"
"209",11,"Green Bay Packers",GB,"DST13","5","2 out of 5 stars","-18"
"210",11,"Harrison Butker",KC,"K8","10","3 out of 5 stars","-52"
"211",11,"Anthony Richardson Sr.",IND,"QB29","11","3 out of 5 stars","-14"
"212",11,"Evan McPherson",CIN,"K9","10","1 out of 5 stars","-17"
"213",11,"Darius Slayton",NYG,"WR77","14","2 out of 5 stars","+60"
"214",11,"New York Jets",NYJ,"DST14","9","5 out of 5 stars","-16"
"215",11,"Dontayvion Wicks",GB,"WR78","5","2 out of 5 stars","+61"
"216",11,"Justice Hill",BAL,"RB60","7","4 out of 5 stars","-12"
"217",11,"Tyler Bass",BUF,"K10","7","2 out of 5 stars","-46"
"218",11,"Kareem Hunt",KC,"RB61","10","2 out of 5 stars","-29"
"219",11,"Adonai Mitchell",IND,"WR79","11","4 out of 5 stars","+122"
"220",12,"Jaylin Noel",HOU,"WR80","6","4 out of 5 stars","+57"
"221",12,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","-62"
"222",12,"Calvin Austin III",PIT,"WR81","5","4 out of 5 stars","+29"
"223",12,"Andrei Iosivas",CIN,"WR82","10","3 out of 5 stars","+43"
"224",12,"Dalton Schultz",HOU,"TE27","6","3 out of 5 stars","+8"
"225",12,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-60"
"226",12,"Jason Sanders",MIA,"K12","12","2 out of 5 stars","-46"
"227",12,"Tyler Lockett",TEN,"WR83","10","4 out of 5 stars","+22"
"228",12,"Devaughn Vele",DEN,"WR84","12","3 out of 5 stars","+209"
"229",12,"Elic Ayomanor",TEN,"WR85","10","4 out of 5 stars","+86"
"230",12,"Miles Sanders",DAL,"RB62","10","2 out of 5 stars","+16"
"231",12,"Jaleel McLaughlin",DEN,"RB63","12","2 out of 5 stars","+60"
"232",12,"Kendre Miller",NO,"RB64","11","4 out of 5 stars","+9"
"233",12,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-47"
"234",12,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","+22"
"235",12,"Pat Bryant",DEN,"WR86","12","3 out of 5 stars","+45"
"236",12,"Diontae Johnson",CLE,"WR87","9","2 out of 5 stars","+80"
"237",12,"Kyle Monangai",CHI,"RB65","5","3 out of 5 stars","+24"
"238",12,"Ja'Tavion Sanders",CAR,"TE28","14","4 out of 5 stars","+32"
"239",12,"Woody Marks",HOU,"RB66","6","2 out of 5 stars","+29"
"240",12,"DJ Giddens",IND,"RB67","11","2 out of 5 stars","+17"
"241",12,"Juwan Johnson",NO,"TE29","11","3 out of 5 stars","+71"
